-0.99816275  -0.8807738  [0.0, 0.0, 1.0] C3
-0.8773509  0.4604094  [0.0, 1.0, 0.0] C2
-0.17636967  0.53096104  [1.0, 0.0, 0.0] C1
0.13311243  -0.7716869  [0.0, 0.0, 1.0] C3
0.9688935  -0.47031534  [0.0, 0.0, 1.0] C3
0.22211778  0.5439911  [1.0, 0.0, 0.0] C1
-0.2588327  0.58056736  [1.0, 0.0, 0.0] C1
-0.7670064  0.57563114  [1.0, 0.0, 0.0] C1
0.14294553  0.71182096  [1.0, 0.0, 0.0] C1
-0.9601735  -0.88367176  [0.0, 0.0, 1.0] C3
0.73068964  -0.8119165  [0.0, 1.0, 0.0] C2
0.11168492  0.6192082  [1.0, 0.0, 0.0] C1
-0.059152126  -0.076126575  [0.0, 0.0, 1.0] C3
0.48883724  -0.046534896  [0.0, 0.0, 1.0] C3
-0.93449533  -0.9308226  [0.0, 0.0, 1.0] C3
0.2132262  -0.66162384  [0.0, 1.0, 0.0] C2
-0.49009025  0.8431395  [1.0, 0.0, 0.0] C1
-0.8448098  0.90055573  [0.0, 0.0, 1.0] C3
0.7362373  -0.7623104  [0.0, 1.0, 0.0] C2
0.83120203  0.058050036  [0.0, 0.0, 1.0] C3
0.95296335  0.18619418  [0.0, 0.0, 1.0] C3
-0.5192007  0.62936604  [1.0, 0.0, 0.0] C1
-0.75707686  0.6244687  [1.0, 0.0, 0.0] C1
0.41375494  -0.48154616  [1.0, 0.0, 0.0] C1
-0.43762374  0.4006356  [0.0, 1.0, 0.0] C2
0.7809297  0.016513228  [0.0, 0.0, 1.0] C3
-0.45353258  -0.03948748  [0.0, 0.0, 1.0] C3
0.57552445  0.32305896  [1.0, 0.0, 0.0] C1
0.012775183  0.2968284  [0.0, 0.0, 1.0] C3
0.22815263  -0.38703728  [1.0, 0.0, 0.0] C1
0.6849004  0.8602693  [1.0, 0.0, 0.0] C1
-0.20686412  -0.18954813  [1.0, 0.0, 0.0] C1
-0.78579724  -0.5489975  [0.0, 1.0, 0.0] C2
-0.11024511  -0.22118294  [0.0, 0.0, 1.0] C3
0.8430643  -0.089909315  [0.0, 0.0, 1.0] C3
-0.50280905  -0.34438753  [1.0, 0.0, 0.0] C1
-0.1581192  0.4864601  [0.0, 1.0, 0.0] C2
0.92315423  -0.026550531  [0.0, 0.0, 1.0] C3
0.510072  -0.25153172  [1.0, 0.0, 0.0] C1
0.07253981  0.57834923  [1.0, 0.0, 0.0] C1
-0.5642909  -0.07247007  [1.0, 0.0, 0.0] C1
-0.88604724  0.41954768  [0.0, 1.0, 0.0] C2
-0.2329241  0.6188319  [1.0, 0.0, 0.0] C1
0.13994193  0.42140245  [1.0, 0.0, 0.0] C1
0.4020791  -0.7786982  [0.0, 1.0, 0.0] C2
-0.9161619  0.9006523  [0.0, 0.0, 1.0] C3
0.71859515  0.6823181  [1.0, 0.0, 0.0] C1
-0.5839474  -0.44200468  [1.0, 0.0, 0.0] C1
0.25253534  0.7350638  [1.0, 0.0, 0.0] C1
-0.29938054  -0.19471514  [1.0, 0.0, 0.0] C1
-0.38615382  -0.50292945  [0.0, 1.0, 0.0] C2
-0.5650016  -0.90162516  [0.0, 1.0, 0.0] C2
0.97827435  -0.9372462  [0.0, 0.0, 1.0] C3
0.49026477  -0.30321646  [1.0, 0.0, 0.0] C1
-0.6997713  0.50226235  [1.0, 0.0, 0.0] C1
-0.5363647  0.6871517  [1.0, 0.0, 0.0] C1
-0.41358256  -0.18836915  [1.0, 0.0, 0.0] C1
0.1808821  -0.33352828  [1.0, 0.0, 0.0] C1
-0.69067895  -0.91081893  [0.0, 0.0, 1.0] C3
-0.9460921  -0.18198514  [0.0, 0.0, 1.0] C3
0.5134535  0.19075906  [1.0, 0.0, 0.0] C1
-0.09883177  -0.48119295  [1.0, 0.0, 0.0] C1
0.09644151  0.89835036  [0.0, 0.0, 1.0] C3
-0.15044034  -0.46034026  [1.0, 0.0, 0.0] C1
0.88319564  0.18579018  [0.0, 0.0, 1.0] C3
-0.989077  0.4406711  [0.0, 0.0, 1.0] C3
-0.261963  0.35080862  [0.0, 1.0, 0.0] C2
-0.4992292  0.18653798  [0.0, 1.0, 0.0] C2
